,Gross enrollment ratio,,,,,,,,Children out of school,,,
,Preprimary,,Primary,,Secondary,,Tertiary,,"Primary school-age children, male",,"Primary school-age children, female",
,% of relevant age group,,% of relevant age group,,% of relevant age group,,% of relevant age group,,,,,
Source,,,,,,,,,,,,
,,,,,,,,,,,,
UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of June 2022.,,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
,,,,,,,,,,,,
"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).",,,,,,,,,,,,
,,,,,,,,,,,,
"School enrollment, tertiary (% gross)",,,,,,,,,,,,
,,,,,,,,,,,,
Long definition,,,,,,,,,,,,
,,,,,,,,,,,,
"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.",,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
,,,,,,,,,,,,
UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of June 2022.,,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
,,,,,,,,,,,,
"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).",,,,,,,,,,,,
,,,,,,,,,,,,
"Children out of school, primary, male",,,,,,,,,,,,
,,,,,,,,,,,,
Long definition,,,,,,,,,,,,
,,,,,,,,,,,,
Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
,,,,,,,,,,,,
UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of June 2022.,,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
,,,,,,,,,,,,
"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).",,,,,,,,,,,,
,,,,,,,,,,,,
"Children out of school, primary, female",,,,,,,,,,,,
,,,,,,,,,,,,
Long definition,,,,,,,,,,,,
,,,,,,,,,,,,
Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
,,,,,,,,,,,,
UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of June 2022.,,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
,,,,,,,,,,,,
"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).",,,,,,,,,,,,
,,,,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/2.8 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,,,,
